# accel_live capture
# started_utc: 2026-09-03T12:33:00.953876+00:00
# source: /dev/cu.usbmodem101
# odr_hz_nominal: 416
# accel_range_g: 8
# t_s is relative to the first sample of this recording;
# t_us is the board's raw micros() reading for that sample.
# host_iso is host arrival time, for cross-reference only.
t_s,t_us,x_g,y_g,z_g,host_iso
1.171889,173437258,0.0246,-0.0359,1.0182,2026-09-03T12:33:02.133853+00:00
1.176336,173441705,0.0232,-0.0342,1.0172,2026-09-03T12:33:02.138115+00:00
1.180658,173446027,0.0259,-0.0339,1.0175,2026-09-03T12:33:02.142496+00:00
1.184976,173450345,0.0239,-0.0346,1.0177,2026-09-03T12:33:02.146938+00:00
1.189339,173454708,0.0239,-0.0346,1.0175,2026-09-03T12:33:02.151209+00:00
1.193623,173458992,0.0261,-0.0344,1.0163,2026-09-03T12:33:02.155509+00:00
1.197926,173463295,0.0244,-0.0354,1.0180,2026-09-03T12:33:02.159953+00:00
1.202287,173467656,0.0249,-0.0351,1.0187,2026-09-03T12:33:02.164216+00:00
1.206574,173471943,0.0246,-0.0359,1.0180,2026-09-03T12:33:02.168488+00:00
1.210866,173476235,0.0254,-0.0342,1.0187,2026-09-03T12:33:02.172860+00:00
1.215192,173480561,0.0232,-0.0349,1.0175,2026-09-03T12:33:02.177266+00:00
1.219549,173484918,0.0246,-0.0344,1.0182,2026-09-03T12:33:02.181562+00:00
1.223835,173489204,0.0246,-0.0334,1.0185,2026-09-03T12:33:02.185927+00:00
1.228183,173493552,0.0256,-0.0361,1.0175,2026-09-03T12:33:02.190219+00:00
1.232462,173497831,0.0251,-0.0349,1.0172,2026-09-03T12:33:02.194541+00:00
1.236773,173502142,0.0249,-0.0342,1.0165,2026-09-03T12:33:02.198889+00:00
1.241084,173506453,0.0249,-0.0361,1.0160,2026-09-03T12:33:02.203278+00:00
1.245440,173510809,0.0249,-0.0344,1.0163,2026-09-03T12:33:02.207693+00:00
1.249824,173515193,0.0251,-0.0349,1.0187,2026-09-03T12:33:02.212090+00:00
1.254196,173519565,0.0237,-0.0346,1.0177,2026-09-03T12:33:02.216409+00:00
1.258522,173523891,0.0251,-0.0356,1.0167,2026-09-03T12:33:02.220760+00:00
1.262822,173528191,0.0178,-0.0251,1.0197,2026-09-03T12:33:02.225135+00:00
